word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24
gentlemen,0,0,0,0,0.00077546097,0,0,0,0,0,0,0,0,0,0,0,0.0013909694,0,0,0,0,0,0,0,0
session,0,0,0,0.0025749494,0,0,0.0024512535,0,0,0,0,0,0,0,0.00011209506,0.00082217524,0,0,0.0022514071,0,0,0,0,0,0.0028636884
upon,0,0.00025651988,0,0.0029427993,0.0019817336,0.00080109865,0,0.0014654699,0,0,0,0,0.016520719,0.0022771359,0.0082950342,0,0,0,0.010281426,0,0,0,0,0,0
entering,0,0,0.000085397096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011520737,0,0,0.00038167939,0,0,0.0011875202,0
closing,0,0,0,0,0,0,0.00066852368,0,0,0.00092343855,0.00038639876,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sixty-third,0,0,0,0,0.00017232466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
venture,0,0,0,0,0.00077546097,0,0.00055710306,0,0,0,0,0,0,0.000084338366,0,0,0,0,0,0,0,0,0,0,0
say,0,0,0.0037574722,0,0.0056005514,0,0,0,0,0,0,0,0,0,0,0,0.00363792,0,0,0.0015155567,0.0089694656,0,0,0.0020511713,0
long,0.001990644,0.0011970928,0.0024765158,0,0.0029295192,0,0,0.0028393479,0,0,0,0,0.00090277151,0,0.0025781863,0.004463237,0.0060988658,0,0,0.0041900686,0,0,0,0,0.003207331
remembered,0,0,0,0.00006130832,0,0,0,0,0,0,0,0.00046136101,0,0,0,0,0,0,0,0,0,0,0,0.00097160747,0
body,0,0,0,0,0,0,0,0.0002747756,0,0,0,0,0.0020763745,0,0,0.0017618041,0,0,0,0,0,0,0,0,0
thoughtful,0,0.000085506627,0,0,0,0,0,0,0,0,0,0,0.00054166291,0,0,0,0,0,0.000075046904,0,0,0,0,0,0.00068728522
constructive,0,0,0,0,0.0019817336,0,0,0,0,0,0,0,0,0,0.00011209506,0,0,0.002764977,0.00090056285,0.00026745119,0,0,0,0,0
work,0,0,0.01588386,0,0.0024125452,0.0026321813,0,0.005495512,0,0,0,0,0.00054166291,0.0049759636,0,0,0,0,0.0051782364,0,0.0074427481,0.028239557,0,0.003346648,0
done,0,0,0.00042698548,0,0.0026710322,0,0,0,0,0,0,0,0.0041527489,0,0.0022419011,0,0.0082388187,0,0.00067542214,0,0,0.001172208,0,0,0
loyal,0,0,0,0,0,0,0.00022284123,0,0,0,0,0,0.00063194006,0,0,0,0,0,0,0,0,0,0,0,0
response,0,0.00034202651,0,0,0,0.0022888533,0,0,0,0,0,0.00080738178,0,0,0,0,0.0019259576,0,0,0,0,0,0,0,0
thought,0.001492983,0,0,0,0,0,0,0,0,0,0,0,0.0027985917,0,0.00011209506,0,0,0,0,0,0,0.00010656436,0,0,0.0037800687
needs,0.0052752065,0,0,0.0020844829,0,0.010414282,0,0,0.0018200728,0,0,0,0,0,0,0.0065774019,0,0,0.0019512195,0,0,0.0053282182,0,0,0
country,0.00089578979,0,0.0087959009,0,0.0054282268,0.0043488212,0,0,0,0.00402955,0,0,0.011284644,0,0.0052684677,0,0.0095227905,0.0043778802,0.0075797373,0.0098065436,0.0023854962,0,0,0.0026989096,0.0017182131
like,0,0,0,0.00018392496,0.00043081165,0,0,0.0024729804,0,0.0038616521,0,0,0.0046944118,0,0,0,0,0,0,0,0.003148855,0.0042625746,0,0.0038864299,0
address,0.000099532199,0,0,0,0,0,0,0,0.0010400416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045341682,0.003207331
review,0.002488305,0,0,0,0,0.00011444266,0.00033426184,0,0,0,0,0,0.00027083145,0,0,0,0,0,0,0,0,0.0021312873,0,0,0
notable,0,0,0,0.0003065416,0.00060313631,0,0,0,0,0.00033579584,0,0,0,0,0,0,0,0,0.000075046904,0,0,0,0,0,0
record,0,0,0.0022203245,0,0.00094778563,0,0,0,0,0,0,0,0,0,0,0,0,0.00092165899,0,0,0,0,0.0037576327,0.0032386916,0
try,0,0,0.0011101623,0,0,0,0,0,0,0,0,0,0.0014444344,0,0,0,0.0024609459,0,0,0,0,0,0,0,0
adequate,0.0020901762,0,0,0.0038624241,0,0,0,0,0.0014733923,0,0,0,0.002979146,0.00092772202,0,0,0,0,0,0,0,0,0.0021606388,0,0
assessment,0.00059719319,0,0,0,0,0.00011444266,0,0,0,0,0,0,0,0,0,0,0.00010699765,0,0,0,0,0,0,0,0
doubt,0.0017915796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00058726803,0.0026749412,0,0,0.00080235357,0,0,0,0,0
stand,0,0,0.0025619129,0,0.0040496295,0,0,0.0035720828,0,0,0,0,0.0013541573,0,0,0,0,0.00011520737,0,0.0019613087,0,0,0,0,0
too,0,0,0.001793339,0,0,0,0,0,0,0.00075554063,0.002511592,0,0,0,0,0,0.01273272,0,0,0,0.0075381679,0.0020247229,0,0,0
near,0,0.0016246259,0,0,0,0,0,0,0,0,0,0.001384083,0,0,0,0,0.0011769741,0,0,0,0,0,0,0,0
ourselves,0,0.0011970928,0,0,0,0,0,0,0,0,0,0,0.008395775,0,0,0,0.0038519153,0,0,0.0034768655,0.000095419847,0,0,0,0
much,0,0,0,0,0.0045666035,0,0,0,0,0,0.0025759918,0,0,0,0.0050442775,0,0.012304729,0.0029953917,0.0066791745,0,0.00085877863,0,0,0,0
part,0.0057728675,0.0046173578,0,0.00006130832,0,0,0.0045682451,0,0.0002600104,0,0,0,0.0017152659,0.0017711057,0.0016814258,0.0025839793,0,0.00034562212,0,0,0.0029580153,0,0.0063879756,0,0.002978236
play,0,0,0,0,0.0016370843,0,0.0032311978,0,0,0,0,0,0,0.000084338366,0,0,0,0,0,0,0,0,0,0,0
historians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021591277,0
